state,bin,pcn,group_number,plan_type,plan_subtype,pbm_name,plan_name,mco_name,confidence,source,source_date,notes
MI,019595,PRX00621,,MEDICAID_MCO,MCO,Prime Therapeutics,Healthy Michigan Plan - Blue Cross Complete,Blue Cross Complete of Michigan,HIGH,https://www.michigan.gov/-/media/Project/Websites/mdhhs/Assistance-Programs/Medicaid-BPHASA/Other-Prov-Specific-Page-Docs/Health_Plan_BIN_PCN_Group_Information_1-2026.pdf,2026-02-11,Official MDHHS BIN/PCN/Group table updated 02/11/2026
MI,003858,MA,CSHAPMI,MEDICAID_MCO,MCO,Express Scripts,Healthy Michigan Plan - HAP CareSource,HAP CareSource Michigan,HIGH,https://www.michigan.gov/-/media/Project/Websites/mdhhs/Assistance-Programs/Medicaid-BPHASA/Other-Prov-Specific-Page-Docs/Health_Plan_BIN_PCN_Group_Information_1-2026.pdf,2026-02-11,Official MDHHS BIN/PCN/Group table updated 02/11/2026
MI,017142,ASPROD1,ML108,MEDICAID_MCO,MCO,CVS Caremark,Healthy Michigan Plan - McLaren Health Plan,McLaren Health Plan,HIGH,https://www.michigan.gov/-/media/Project/Websites/mdhhs/Assistance-Programs/Medicaid-BPHASA/Other-Prov-Specific-Page-Docs/Health_Plan_BIN_PCN_Group_Information_1-2026.pdf,2026-02-11,Groups ML108/ML110/ML284/ML329 all valid per MDHHS table; multiple group numbers reflect different plan variants
MI,003858,MA,2EPA,MEDICAID_MCO,MCO,Express Scripts,Healthy Michigan Plan - Meridian Health Plan,Meridian Health Plan of Michigan (Centene),HIGH,https://www.michigan.gov/-/media/Project/Websites/mdhhs/Assistance-Programs/Medicaid-BPHASA/Other-Prov-Specific-Page-Docs/Health_Plan_BIN_PCN_Group_Information_1-2026.pdf,2026-02-11,Official MDHHS BIN/PCN/Group table updated 02/11/2026
MI,004336,MCAIDADV,RX0506,MEDICAID_MCO,MCO,CVS Caremark,Healthy Michigan Plan - Molina Healthcare,Molina Healthcare of Michigan,HIGH,https://www.michigan.gov/-/media/Project/Websites/mdhhs/Assistance-Programs/Medicaid-BPHASA/Other-Prov-Specific-Page-Docs/Health_Plan_BIN_PCN_Group_Information_1-2026.pdf,2026-02-11,Official MDHHS BIN/PCN/Group table updated 02/11/2026
MI,003858,MA,PHMEDCD,MEDICAID_MCO,MCO,Express Scripts,Healthy Michigan Plan - Priority Health Choice,Priority Health Choice,HIGH,https://www.michigan.gov/-/media/Project/Websites/mdhhs/Assistance-Programs/Medicaid-BPHASA/Other-Prov-Specific-Page-Docs/Health_Plan_BIN_PCN_Group_Information_1-2026.pdf,2026-02-11,Official MDHHS BIN/PCN/Group table updated 02/11/2026
MI,610494,4242,ACUMI,MEDICAID_MCO,MCO,Optum Rx,Healthy Michigan Plan - UnitedHealthcare Community,UnitedHealthcare Community Plan of Michigan,HIGH,https://www.michigan.gov/-/media/Project/Websites/mdhhs/Assistance-Programs/Medicaid-BPHASA/Other-Prov-Specific-Page-Docs/Health_Plan_BIN_PCN_Group_Information_1-2026.pdf,2026-02-11,Official MDHHS BIN/PCN/Group table updated 02/11/2026
MI,003858,MA,,MEDICAID_MCO,MCO,Express Scripts,Healthy Michigan Plan - Upper Peninsula Health Plan,Upper Peninsula Health Plan,HIGH,https://www.michigan.gov/-/media/Project/Websites/mdhhs/Assistance-Programs/Medicaid-BPHASA/Other-Prov-Specific-Page-Docs/Health_Plan_BIN_PCN_Group_Information_1-2026.pdf,2026-02-11,No group number listed in MDHHS table for UPHP; BIN 003858 PCN MA confirmed
IN,020107,IN,WKXA,MEDICAID_MCO,MCO,CarelonRx,Hoosier Healthwise / HIP - Anthem,Anthem Blue Cross Blue Shield Indiana,HIGH,https://www.in.gov/medicaid/providers/clinical-services/pharmacy-benefits/pharmacy-services/,2025-01-01,Confirmed from Indiana Medicaid pharmacy services page; Anthem covers HIP/Hoosier Healthwise/Hoosier Care Connect/PathWays
IN,003858,MA,RXINN01,MEDICAID_MCO,MCO,Express Scripts,Hoosier Healthwise / HIP - CareSource,CareSource Indiana,HIGH,https://www.in.gov/medicaid/providers/clinical-services/pharmacy-benefits/pharmacy-services/,2025-01-01,Confirmed from Indiana Medicaid pharmacy services page
IN,610649,03191506,28968,MEDICAID_MCO,MCO,Humana Pharmacy,Hoosier Healthwise / HIP - Humana,Humana Healthy Horizons Indiana,HIGH,https://www.in.gov/medicaid/providers/clinical-services/pharmacy-benefits/pharmacy-services/,2025-01-01,Confirmed from Indiana Medicaid pharmacy services page
IN,003858,MA,2EKA,MEDICAID_MCO,MCO,Express Scripts,Hoosier Healthwise / HIP - MHS Indiana,Managed Health Services Indiana,HIGH,https://www.in.gov/medicaid/providers/clinical-services/pharmacy-benefits/pharmacy-services/,2025-01-01,Confirmed from Indiana Medicaid pharmacy services page; MDwise ended Dec 31 2025
IN,610494,4841,ACUIN,MEDICAID_MCO,MCO,Optum Rx,Hoosier Healthwise / HIP - UnitedHealthcare,UnitedHealthcare Community Plan Indiana,HIGH,https://www.in.gov/medicaid/providers/clinical-services/pharmacy-benefits/pharmacy-services/,2025-01-01,Confirmed from Indiana Medicaid pharmacy services page
WI,610590,,,MEDICAID_FFS,FFS,ForwardHealth,Wisconsin BadgerCare Plus FFS,Wisconsin DHS ForwardHealth,MEDIUM,https://www.dhs.wisconsin.gov/publications/p0/p00272.pdf,2025-10-01,ForwardHealth FFS payer sheet P-00272 (Oct 2025); pharmacy benefit carved out to state FFS even for HMO members; specific BIN per ForwardHealth EDI — verify BIN 610590 from payer sheet; PCN/Group not publicly listed
MN,026787,5309662024,MNMEDICAID,MEDICAID_FFS,FFS,Prime Therapeutics,Minnesota Medical Assistance FFS,Minnesota DHS,HIGH,https://minnesota.primetherapeutics.com/documents/9611826/9615818/Payer%20Specifications/e02e909b-4949-12c8-6c88-3629546f33e2,2024-10-01,FFS transitioned to Prime Therapeutics Nov 4 2024; new BIN 026787 PCN 5309662024 Group MNMEDICAID as of 10/1/2024
MN,019595,06180000,,MEDICAID_MCO,MCO,Prime Therapeutics,Minnesota Medical Assistance - South Country Health Alliance,South Country Health Alliance,HIGH,https://www.mnscha.org/providers/other-resources/pharmacy/,2025-01-01,Confirmed from South Country Health Alliance provider pharmacy page; BIN 019595 PCN 06180000
MN,017142,MNPROD1,PRW02,MEDICAID_MCO,MCO,MedImpact,Minnesota Medical Assistance - PrimeWest Health,PrimeWest Health,HIGH,https://www.primewest.org/medical-dental-pharmacy/pharmacy,2025-01-01,Confirmed from PrimeWest Health pharmacy page; MedImpact TPA; covers F&C/MinnesotaCare/MSC+/SNBC
MN,003858,MA,,MEDICAID_MCO,MCO,Express Scripts,Minnesota Medical Assistance - Blue Plus,Blue Plus (Blue Cross Blue Shield of Minnesota),MEDIUM,https://mn.gov/dhs/partners-and-providers/policies-procedures/minnesota-health-care-programs/provider/types/rx/managed-care-identification.jsp,2025-01-01,Blue Plus uses ESI network; BIN 003858 PCN MA consistent with ESI Medicaid pattern; verify group from DHS managed care pharmacy ID page
MN,003858,MA,,MEDICAID_MCO,MCO,Express Scripts,Minnesota Medical Assistance - HealthPartners,HealthPartners,MEDIUM,https://mn.gov/dhs/partners-and-providers/policies-procedures/minnesota-health-care-programs/provider/types/rx/managed-care-identification.jsp,2025-01-01,HealthPartners PMAP/MinnesotaCare; BIN/PCN MEDIUM — full details in 2026 Provider Resource Manual; verify group
MN,003858,MA,,MEDICAID_MCO,MCO,Express Scripts,Minnesota Medical Assistance - Medica,Medica Health Plans,MEDIUM,https://mn.gov/dhs/partners-and-providers/policies-procedures/minnesota-health-care-programs/provider/types/rx/managed-care-identification.jsp,2025-01-01,Medica uses ESI for Medical Assistance; BIN 003858 MEDIUM — verify group and PCN from Medica provider portal
MN,,,,MEDICAID_MCO,MCO,Navitus,Minnesota Medical Assistance - UCare,UCare Minnesota,LOW,https://www.ucare.org/providers/pharmacy/state-public-programs-spp,2025-01-01,UCare placed into Rehabilitation 12/17/2025 — winding down; Navitus was PBM; BIN/PCN not publicly confirmed; LOW confidence / plan in wind-down
MO,004047,MORX,,MEDICAID_FFS,FFS,emomed/DSS,MO HealthNet FFS Pharmacy,Missouri Department of Social Services,HIGH,https://mydss.mo.gov/mhd/morx-pharmacist-faqs,2025-01-01,Missouri pharmacy benefit carved out to FFS even for MCO members; BIN 004047 for all MO HealthNet FFS pharmacy claims; PCN varies by claim type
MO,004047,P021011511,,MEDICAID_FFS,FFS,emomed/DSS,MO HealthNet FFS - MORx Claims,Missouri Department of Social Services,HIGH,https://mydss.mo.gov/mhd/morx-pharmacist-faqs,2025-01-01,MORx (State Pharmacy Assistance Program) claims use BIN 004047 PCN P021011511; MCOs do not manage pharmacy benefit
MO,004047,43-1754897,,MEDICAID_FFS,FFS,emomed/DSS,MO HealthNet FFS - Excluded Drugs,Missouri Department of Social Services,HIGH,https://mydss.mo.gov/mhd/morx-pharmacist-faqs,2025-01-01,Excluded drug claims for MO HealthNet-only participants; BIN 004047 PCN 43-1754897; no group ID required
IA,003858,MA,2EGA,MEDICAID_MCO,MCO,Express Scripts,Iowa Health Link - Iowa Total Care,Iowa Total Care (Centene),HIGH,https://www.iowatotalcare.com/providers/pharmacy.html,2025-01-01,Confirmed from Iowa Total Care provider pharmacy page; BIN 003858 PCN MA Group 2EGA; ESI is PBM
IA,020107,IN,WKXA,MEDICAID_MCO,MCO,CarelonRx,Iowa Health Link - Wellpoint Iowa,Wellpoint Iowa Inc (formerly Amerigroup),MEDIUM,https://www.provider.wellpoint.com/iowa-provider/member-eligibility-and-pharmacy/pharmacy,2025-01-01,Wellpoint Iowa uses CarelonRx as PBM; BIN 020107 PCN IN Group WKXA consistent with Anthem/Wellpoint national Medicaid CarelonRx pattern; verify from Wellpoint Iowa provider manual
IA,004336,MCAIDADV,,MEDICAID_MCO,MCO,CVS Caremark,Iowa Health Link - Molina Healthcare Iowa,Molina Healthcare of Iowa,MEDIUM,https://www.molinahealthcare.com/providers/ia/medicaid/resources/pharmacy.aspx,2025-01-01,Molina Iowa uses CVS Caremark; BIN 004336 PCN MCAIDADV consistent with Molina national pattern; group not confirmed — verify from Molina Iowa 2025 provider manual
IA,,,,MEDICAID_FFS,FFS,Optum/DXC,Iowa Medicaid FFS,Iowa HHS,LOW,https://hhs.iowa.gov/programs/welcome-iowa-medicaid/provider-services/medicaid-pharmacy,2025-01-01,Iowa FFS BIN/PCN not publicly available online; contact Iowa Medicaid PDL (iowamedicaidpdl.com) or 1-877-463-7671 for current FFS payer sheet
KS,610517,,,MEDICAID_FFS,FFS,KMAP/HP,Kansas Medicaid FFS - Standard,Kansas KDHE,HIGH,https://www.kdhe.ks.gov/205/Managed-Care-Organization-Fee-For-Servic,2025-01-01,Confirmed from KDHE MCO/FFS billing code page; FFS BIN 610517 no PCN or Group for standard processing
KS,610517,MEDD,,MEDICAID_FFS,FFS,KMAP/HP,Kansas Medicaid FFS - Medicare Part D Copay,Kansas KDHE,HIGH,https://www.kdhe.ks.gov/205/Managed-Care-Organization-Fee-For-Servic,2025-01-01,FFS COB Scenario 2 — Medicare Part D copay assistance; BIN 610517 PCN MEDD
KS,020107,IRXKS,RX8481,MEDICAID_MCO,MCO,CVS Caremark,KanCare 3.0 - Healthy Blue,Healthy Blue Kansas (formerly Aetna Better Health),HIGH,https://www.kdhe.ks.gov/205/Managed-Care-Organization-Fee-For-Servic,2025-01-01,Healthy Blue replaced Aetna Better Health as of 1/1/2025 in KanCare 3.0; BIN 020107 PCN IRXKS Group RX8481 confirmed from KDHE page
KS,003858,MA,2ELA,MEDICAID_MCO,MCO,Express Scripts,KanCare 3.0 - Sunflower Health Plan,Sunflower Health Plan (Centene),HIGH,https://www.kdhe.ks.gov/205/Managed-Care-Organization-Fee-For-Servic,2025-01-01,Confirmed from KDHE MCO/FFS billing code page; Sunflower uses ESI PBM
KS,610494,9999,ACUKS,MEDICAID_MCO,MCO,Optum Rx,KanCare 3.0 - UnitedHealthcare Community,UnitedHealthcare Community Plan of Kansas,HIGH,https://www.kdhe.ks.gov/205/Managed-Care-Organization-Fee-For-Servic,2025-01-01,Confirmed from KDHE MCO/FFS billing code page; UHC uses Optum Rx
NE,004336,MCAIDADV,RX5459,MEDICAID_MCO,MCO,Express Scripts,Heritage Health - Nebraska Total Care,Nebraska Total Care (Centene),HIGH,https://dhhs.ne.gov/Documents/Heritage%20Health%20Pharmacy%20Guide.pdf,2025-01-01,Nebraska Total Care transitioned to Express Scripts effective 1/1/2024; BIN 004336 PCN MCAIDADV Group RX5459 confirmed from search results referencing Heritage Health Pharmacy Guide
NE,003858,MA,2ETA,MEDICAID_MCO,MCO,Express Scripts,Heritage Health - Molina Healthcare Nebraska,Molina Healthcare of Nebraska,HIGH,https://dhhs.ne.gov/Documents/Heritage%20Health%20Pharmacy%20Guide.pdf,2025-01-01,BIN 003858 PCN MA Group 2ETA confirmed from Nebraska Heritage Health pharmacy reference; 2EUA also valid per source
NE,610494,4444,ACUNE,MEDICAID_MCO,MCO,Optum Rx,Heritage Health - UnitedHealthcare Community,UnitedHealthcare Community Plan of Nebraska,HIGH,https://dhhs.ne.gov/Documents/Heritage%20Health%20Pharmacy%20Guide.pdf,2025-01-01,BIN 610494 PCN 4444 Group ACUNE confirmed from Nebraska Heritage Health pharmacy reference; ACUNEUB for CHIP599 Unborn variant
